alg,impl,system,nnode,nproc,nthread,n,r,matmul1p1,matmul1p2,matmul1p3,matmul2p1,matmul2p2,matmul2p3,total_time,gen_omega_time,dgemm1_time,dgemm2_time,all2all_time,reduce_scatter_time,reduce_scatter_1_time,reduce_scatter_2_time,unpack_time,pack_time
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,500,512,1,1,512,1,1,0.509075,0.050673,0.194875,0.034461,0.0,0.20881,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,500,8,4,1,1,32,1,0.385455,0.107316,0.257055,0.005405,0.0,0.0,0.002641,0.001884,0.0,0.004965
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,500,64,1,1,64,1,1,0.218914,0.070863,0.168795,0.004633,0.0,0.035121,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,5000,32,1,1,1,1,32,2.69244,0.192071,2.237732,0.266223,0.094874,0.0,0.0,0.0,0.010765,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,5000,32,1,1,32,1,1,1.096084,0.074661,0.200028,0.037552,0.0,0.970102,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,16,64,32,50000,500,64,1,1,64,1,1,1.470162,0.085881,0.029765,0.002517,0.0,1.42934,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,5000,4,1,1,1,1,4,20.696913,0.230411,18.06991,2.448693,0.574516,0.0,0.0,0.0,0.050206,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,500,8,4,1,1,32,1,0.380296,0.081632,0.047201,0.00108,0.0,0.0,0.000867,0.126363,0.0,0.018778
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,64,256,32,50000,500,256,1,1,1,1,256,0.397636,0.14057,0.113973,0.062849,0.052836,0.0,0.0,0.0,0.018445,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,500,32,1,1,32,1,1,0.320224,0.053611,0.270689,0.015182,0.0,0.022986,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,8,32,32,50000,500,32,1,1,1,1,32,0.151829,0.069218,0.038816,0.009302,0.207208,0.0,0.0,0.0,0.01258,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,5000,512,1,1,1,1,512,1.655903,0.487592,0.604198,0.464547,0.040279,0.0,0.0,0.0,0.017942,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,5000,32,1,1,32,1,1,0.871075,0.061372,0.202607,0.05183,0.0,0.747181,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,500,16,8,1,1,128,1,1.318284,0.093261,0.032839,0.000835,0.0,0.0,0.000821,1.001859,0.0,0.046957
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,16,64,32,50000,5000,64,1,1,64,1,1,1.563004,0.076609,0.121134,0.016105,0.0,1.66065,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,64,256,32,50000,5000,256,1,1,1,1,256,0.42707,0.11018,0.059827,0.000266,0.071278,0.0,0.0,0.0,0.090265,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,4,16,32,50000,5000,16,1,1,1,1,16,0.497386,0.029071,0.374699,0.037854,0.228069,0.0,0.0,0.0,0.025208,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,1,4,32,50000,500,2,2,1,1,4,1,0.325374,0.068561,0.177296,0.004414,0.0,0.0,0.034391,0.006153,0.0,0.008715
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,5000,128,1,1,128,1,1,2.809735,0.101757,0.069859,0.019611,0.0,2.833935,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,64,256,32,50000,5000,256,1,1,256,1,1,1.06008,0.291472,0.421752,0.10286,0.0,0.219935,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,5000,8,8,1,1,64,1,1.671451,0.263393,1.109922,0.16965,0.0,0.0,0.006304,0.058717,0.0,0.041935
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,64,256,32,50000,5000,256,1,1,256,1,1,3.06118,0.098403,0.0594,0.003749,0.0,2.765603,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,2,8,32,50000,5000,8,1,1,8,1,1,9.12093,0.228686,8.071279,0.850219,0.0,0.156517,0.0,0.0,0.0,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu,128,512,32,50000,5000,512,1,1,1,1,512,0.719674,0.094504,0.050189,0.008259,0.331586,0.0,0.0,0.0,0.158496,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,1,4,32,50000,500,4,1,1,1,1,4,1.832051,0.069751,1.704145,0.041343,0.055219,0.0,0.0,0.0,0.006675,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,5000,32,1,1,32,1,1,1.050703,0.114505,0.205912,0.038223,0.0,0.975662,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,2,8,32,50000,500,8,1,1,8,1,1,0.112549,0.023116,0.081616,0.007056,0.0,0.198397,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,5000,4,4,1,1,16,1,5.505015,0.267446,4.599673,0.486835,0.0,0.0,0.018498,0.044309,0.0,0.074279
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,500,16,8,1,1,128,1,1.343871,0.088924,0.031678,0.000833,0.0,0.0,0.000829,1.136932,0.0,0.039238
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,2,8,32,50000,500,8,1,1,8,1,1,0.980376,0.070938,0.900569,0.025409,0.0,0.041714,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,16,64,32,50000,5000,64,1,1,64,1,1,1.208896,0.102292,0.116789,0.016094,0.0,1.155819,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,2,8,32,50000,500,4,2,1,1,8,1,0.241222,0.042399,0.101827,0.003598,0.0,0.0,0.00095,0.061075,0.0,0.008512
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,500,64,1,1,64,1,1,0.222897,0.052765,0.163378,0.006286,0.0,0.040685,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,500,512,1,1,512,1,1,0.804647,0.050661,0.440373,0.034904,0.0,0.258242,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,5000,8,8,1,1,64,1,1.74389,0.298003,1.13845,0.162068,0.0,0.0,0.007969,0.049446,0.0,0.068171
nystrom-1d-redist-1d,cpp,perlmutter-gpu,64,256,32,50000,500,256,1,1,1,1,256,0.466368,0.082557,0.033125,0.03685,0.092172,0.0,0.0,0.0,0.079051,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,500,512,1,1,1,1,512,0.417269,0.052666,0.194851,0.068105,0.060761,0.0,0.0,0.0,0.031443,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,4,16,32,50000,500,16,1,1,16,1,1,0.404806,0.066753,0.049443,0.004705,0.0,0.359709,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,5000,16,8,1,1,128,1,1.773656,0.091441,0.074917,0.005597,0.0,0.0,0.000936,1.414777,0.0,0.050113
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,5000,128,1,1,128,1,1,2.943431,0.08692,0.071221,0.021578,0.0,2.933719,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,500,32,1,1,32,1,1,0.527161,0.100383,0.041757,0.006864,0.0,0.541564,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,2,8,32,50000,500,4,2,1,1,8,1,1.064577,0.131987,0.894731,0.013265,0.0,0.0,0.004209,0.001481,0.0,0.01036
nystrom-1d-redist-1d,cpp,perlmutter-gpu,64,256,32,50000,5000,256,1,1,1,1,256,0.460577,0.081115,0.059582,0.000165,0.079386,0.0,0.0,0.0,0.094256,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,500,512,1,1,1,1,512,0.400742,0.05083,0.198262,0.05024,0.063996,0.0,0.0,0.0,0.022826,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,64,256,32,50000,5000,256,1,1,256,1,1,0.996742,0.280983,0.400586,0.087303,0.0,0.207896,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,5000,8,4,1,1,32,1,0.738957,0.081286,0.210305,0.019957,0.0,0.0,0.001181,0.351179,0.0,0.013837
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,500,8,8,1,1,64,1,0.328992,0.144166,0.158817,0.002832,0.0,0.0,0.001765,0.004155,0.0,0.005077
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,500,32,1,1,1,1,32,0.360503,0.08441,0.269538,0.019993,0.047986,0.0,0.0,0.0,0.00329,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,1,4,32,50000,5000,4,1,1,4,1,1,1.825168,0.097736,1.428803,0.205155,0.0,0.437646,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,5000,4,4,1,1,16,1,5.594429,0.273816,4.66362,0.496809,0.0,0.0,0.018402,0.049212,0.0,0.073017
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,2,8,32,50000,500,4,2,1,1,8,1,0.320939,0.041961,0.101735,0.00361,0.0,0.0,0.000965,0.076771,0.0,0.01674
