alg,impl,system,nnode,nproc,thread_per_proc,a_rows,a_cols,b_rows,b_cols,p1,p2,p3,gather_a_time,gen_a_time,gen_b_time,gather_b_time,local_multiply_time,cpu_gpu_data_move_time,scatter_reduce_time,timestamp
matmul1comm,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,5000,32,1,1,0.0,-1.0,0.02666,0.81247,8.049405,0.0,0.0,2026-02-13T07:24:26
matmul1gen,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,500,128,1,1,0.0,-1.0,0.055035,0.0,0.235699,0.0,0.0,2026-02-13T07:38:03
matmul1gen,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,500,32,1,1,0.0,-1.0,0.086269,0.0,0.889965,0.0,0.0,2026-02-13T07:26:38
matmul1gen,cpp,perlmutter-gpu-cpu,192,768,32,1000000,1000000,1000000,1000,768,1,1,0.0,-1.0,0.7196,0.0,7.342,0.0,0.0,2026-02-14T21:00:08
matmul1comm,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,500,16,1,1,0.0,-1.0,0.021677,0.098219,1.694284,0.0,0.0,2026-02-13T07:25:48
matmul1gen,python,perlmutter-cpu,2,16,32,50000,50000,50000,5000,16,1,1,0.0,-1.0,0.5700768579999931,0.0,4.2738005550000935,0.0,0.0,2025-06-25T14:10:11
matmul1gen,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,500,16,1,1,0.0,-1.0,0.083003,0.0,1.760977,0.0,0.0,2026-02-13T07:23:42
matmul,cpp,perlmutter-gpu,16,64,32,50000,50000,50000,5000,4,4,4,0.056409,-1.0,-1.0,0.160609,0.042034,0.0,0.214894,2025-08-26T13:10:41
matmul1comm,cpp,perlmutter-gpu,128,512,32,50000,50000,50000,5000,512,1,1,0.0,-1.0,0.026423,0.556167,0.034668,0.0,0.0,2025-10-04T06:43:11
matmul,cpp,perlmutter-gpu-cpu,2,8,32,50000,50000,50000,5000,4,2,1,0.309399,0.256388,0.039716,0.254666,8.930106,0.0,0.104924,2026-06-04T09:27:14
matmul1comm,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,5000,16,1,1,0.0,-1.0,0.043889,0.854205,15.824292,0.0,0.0,2026-02-13T07:23:13
matmul1comm,python,perlmutter-cpu,1,128,2,50000,50000,50000,5000,128,1,1,0.0,-1.0,0.006388213999798609,3.7595801029997347,8.878856278000058,0.0,0.0,2025-06-18T05:53:55
