alg,impl,system,nnode,nproc,thread_per_proc,a_rows,a_cols,b_rows,b_cols,p1,p2,p3,gather_a_time,gen_b_time,gather_b_time,local_multiply_time,cpu_gpu_data_move_time,scatter_reduce_time,timestamp
matmul1comm,cpp,perlmutter-gpu-cpu,32,512,8,50000,50000,50000,500,512,1,1,0.0,0.019035,63.778845,0.077135,0.0,0.0,2026-02-13T07:50:59
matmul1comm,cpp,perlmutter-gpu-cpu,2,32,8,50000,50000,50000,500,32,1,1,0.0,0.09632,0.090066,0.892592,0.0,0.0,2026-02-13T07:28:37
matmul,cpp,perlmutter-gpu-cpu,128,512,32,50000,50000,50000,50000,8,8,8,0.08044,0.0,0.05233,1.379386,0.0,0.148502,2025-08-17T20:38:25
matmul1comm,cpp,perlmutter-gpu-cpu,8,128,8,50000,50000,50000,5000,128,1,1,0.0,0.146557,0.910763,2.363718,0.0,0.0,2026-02-13T07:34:09
matmul1gen,cpp,perlmutter-gpu-cpu,16,256,8,50000,50000,50000,500,256,1,1,0.0,0.10203,0.0,0.145741,0.0,0.0,2026-02-13T07:32:37
matmul1gen,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,500,16,1,1,0.0,0.074142,0.0,1.707714,0.0,0.0,2026-02-13T07:24:03
matmul1gen,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,5000,16,1,1,0.0,0.666903,0.0,15.745349,0.0,0.0,2026-02-13T07:19:54
matmul1gen,cpp,perlmutter-gpu-cpu,1,16,8,50000,50000,50000,5000,16,1,1,0.0,0.643116,0.0,15.86647,0.0,0.0,2026-02-13T07:18:05
matmul,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,50000,4,4,4,0.234199,0.0,0.247578,9.723093,0.0,0.552493,2025-10-06T21:11:26
matmul1comm,cpp,perlmutter-gpu-cpu,16,64,32,50000,50000,50000,500,64,1,1,0.0,0.040567,0.191479,0.143997,0.0,0.0,2025-10-05T12:25:32
matmul,cpp,perlmutter-cpu,32,128,64,50000,50000,50000,50000,8,4,4,0.276773,0.0,1.743947,3.910294,0.0,0.111165,2025-08-10T12:31:28
