alg,impl,system,nnode,nproc,nthread,n,r,matmul1p1,matmul1p2,matmul1p3,matmul2p1,matmul2p2,matmul2p3,total_time,gen_omega_time,dgemm1_time,dgemm2_time,all2all_time,reduce_scatter_time,reduce_scatter_1_time,reduce_scatter_2_time,unpack_time,pack_time
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,500,512,1,1,512,1,1,0.804647,0.050661,0.440373,0.034904,0.0,0.258242,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,5000,8,8,1,1,64,1,1.74389,0.298003,1.13845,0.162068,0.0,0.0,0.007969,0.049446,0.0,0.068171
nystrom-1d-redist-1d,cpp,perlmutter-gpu,64,256,32,50000,500,256,1,1,1,1,256,0.466368,0.082557,0.033125,0.03685,0.092172,0.0,0.0,0.0,0.079051,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,500,512,1,1,1,1,512,0.417269,0.052666,0.194851,0.068105,0.060761,0.0,0.0,0.0,0.031443,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,4,16,32,50000,500,16,1,1,16,1,1,0.318638,0.066924,0.066819,0.001394,0.0,0.116217,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,5000,16,8,1,1,128,1,1.773656,0.091441,0.074917,0.005597,0.0,0.0,0.000936,1.414777,0.0,0.050113
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,32,128,32,50000,5000,128,1,1,128,1,1,1.734508,0.087681,0.081819,0.007367,0.0,1.50442,0.0,0.0,0.0,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,500,32,1,1,32,1,1,0.534518,0.084664,0.047918,0.001063,0.0,0.332231,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,2,8,32,50000,500,4,2,1,1,8,1,1.064577,0.131987,0.894731,0.013265,0.0,0.0,0.004209,0.001481,0.0,0.01036
nystrom-1d-redist-1d,cpp,perlmutter-gpu,64,256,32,50000,5000,256,1,1,1,1,256,0.460577,0.081115,0.059582,0.000165,0.079386,0.0,0.0,0.0,0.094256,0.0
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,128,512,32,50000,500,512,1,1,1,1,512,0.400742,0.05083,0.198262,0.05024,0.063996,0.0,0.0,0.0,0.022826,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu-cpu,64,256,32,50000,5000,256,1,1,256,1,1,0.996742,0.280983,0.400586,0.087303,0.0,0.207896,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,8,32,32,50000,5000,8,4,1,1,32,1,0.738957,0.081286,0.210305,0.019957,0.0,0.0,0.001181,0.351179,0.0,0.013837
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,16,64,32,50000,500,8,8,1,1,64,1,0.328992,0.144166,0.158817,0.002832,0.0,0.0,0.001765,0.004155,0.0,0.005077
nystrom-1d-redist-1d,cpp,perlmutter-gpu-cpu,8,32,32,50000,500,32,1,1,1,1,32,0.416182,0.103474,0.273229,0.026742,0.004827,0.0,0.0,0.0,0.002372,0.0
nystrom-1d-noredist-1d,cpp,perlmutter-gpu,1,4,32,50000,5000,4,1,1,4,1,1,2.144513,0.048773,1.675998,0.18953,0.0,0.200532,0.0,0.0,0.0,0.0
nystrom-2d-noredist-1d,cpp,perlmutter-gpu-cpu,4,16,32,50000,5000,4,4,1,1,16,1,5.594429,0.273816,4.66362,0.496809,0.0,0.0,0.018402,0.049212,0.0,0.073017
nystrom-2d-noredist-1d,cpp,perlmutter-gpu,2,8,32,50000,500,4,2,1,1,8,1,0.320939,0.041961,0.101735,0.00361,0.0,0.0,0.000965,0.076771,0.0,0.01674
